alloy_a,AM50,AZ31,AZ91,CPMg220ppmFe,CPMg342ppmFe,E21,HPMg50ppmFe,HPMg51ppmFe,MgCa,WE43,ZE41
AM50,104,98,94,96,20,98,83,74,14,99,99
AZ31,98,104,94,95,22,95,83,73,15,97,100
AZ91,94,94,100,90,18,96,78,73,11,97,95
CPMg220ppmFe,96,95,90,140,36,93,80,70,21,95,96
CPMg342ppmFe,20,22,18,36,62,20,19,20,45,21,22
E21,98,95,96,93,20,102,81,75,13,100,97
HPMg50ppmFe,83,83,78,80,19,81,88,74,15,84,85
HPMg51ppmFe,74,73,73,70,20,75,74,80,13,77,75
MgCa,14,15,11,21,45,13,15,13,49,14,15
WE43,99,97,97,95,21,100,84,77,14,104,99
ZE41,99,100,95,96,22,97,85,75,15,99,105
