alloy_a,AM50,AZ31,AZ91,CPMg220ppmFe,CPMg342ppmFe,E21,HPMg50ppmFe,HPMg51ppmFe,MgCa,WE43,ZE41
AM50,"1.00 [1.00, 1.00]","0.90 [0.86, 0.94]","0.93 [0.89, 0.95]","0.48 [0.32, 0.63]","0.50 [0.15, 0.74]","0.83 [0.75, 0.89]","0.49 [0.35, 0.61]","0.79 [0.71, 0.86]","0.10 [-0.48, 0.49]","0.79 [0.65, 0.90]","0.76 [0.69, 0.84]"
AZ31,"0.90 [0.86, 0.94]","1.00 [1.00, 1.00]","0.88 [0.82, 0.92]","0.60 [0.46, 0.71]","0.57 [0.31, 0.76]","0.79 [0.70, 0.85]","0.62 [0.47, 0.72]","0.79 [0.71, 0.85]","0.17 [-0.33, 0.56]","0.81 [0.73, 0.87]","0.80 [0.72, 0.87]"
AZ91,"0.93 [0.90, 0.96]","0.88 [0.82, 0.92]","1.00 [1.00, 1.00]","0.49 [0.35, 0.62]","0.72 [0.36, 0.91]","0.81 [0.72, 0.87]","0.51 [0.38, 0.63]","0.78 [0.70, 0.86]","0.19 [-0.60, 0.74]","0.77 [0.64, 0.87]","0.74 [0.65, 0.82]"
CPMg220ppmFe,"0.48 [0.32, 0.63]","0.60 [0.47, 0.72]","0.49 [0.36, 0.62]","1.00 [1.00, 1.00]","0.63 [0.28, 0.83]","0.48 [0.32, 0.61]","0.62 [0.46, 0.75]","0.52 [0.38, 0.66]","0.02 [-0.17, 0.25]","0.63 [0.49, 0.74]","0.69 [0.56, 0.80]"
CPMg342ppmFe,"0.50 [0.17, 0.73]","0.57 [0.30, 0.77]","0.72 [0.40, 0.91]","0.63 [0.27, 0.82]","1.00 [1.00, 1.00]","0.49 [0.12, 0.73]","0.41 [0.13, 0.66]","0.58 [0.23, 0.80]","0.04 [-0.75, 0.72]","0.42 [0.04, 0.67]","0.43 [0.17, 0.65]"
E21,"0.83 [0.75, 0.89]","0.79 [0.70, 0.86]","0.81 [0.73, 0.86]","0.48 [0.32, 0.61]","0.49 [0.14, 0.73]","1.00 [1.00, 1.00]","0.48 [0.30, 0.63]","0.83 [0.71, 0.93]","-0.04 [-0.55, 0.37]","0.87 [0.80, 0.91]","0.68 [0.57, 0.76]"
HPMg50ppmFe,"0.49 [0.33, 0.61]","0.62 [0.48, 0.73]","0.51 [0.37, 0.63]","0.62 [0.47, 0.75]","0.41 [0.12, 0.67]","0.48 [0.29, 0.63]","1.00 [1.00, 1.00]","0.48 [0.22, 0.67]","0.24 [-0.21, 0.67]","0.54 [0.37, 0.66]","0.61 [0.48, 0.73]"
HPMg51ppmFe,"0.79 [0.71, 0.86]","0.79 [0.71, 0.85]","0.78 [0.69, 0.86]","0.52 [0.38, 0.67]","0.58 [0.23, 0.82]","0.83 [0.71, 0.92]","0.48 [0.25, 0.68]","1.00 [1.00, 1.00]","-0.04 [-0.46, 0.31]","0.81 [0.71, 0.91]","0.71 [0.60, 0.79]"
MgCa,"0.10 [-0.43, 0.51]","0.17 [-0.29, 0.57]","0.19 [-0.56, 0.74]","0.02 [-0.16, 0.28]","0.04 [-0.72, 0.71]","-0.04 [-0.55, 0.41]","0.24 [-0.17, 0.65]","-0.04 [-0.48, 0.32]","1.00 [1.00, 1.00]","0.11 [-0.39, 0.50]","0.18 [-0.20, 0.49]"
WE43,"0.79 [0.65, 0.90]","0.81 [0.73, 0.87]","0.77 [0.65, 0.87]","0.63 [0.48, 0.75]","0.42 [0.08, 0.67]","0.87 [0.81, 0.92]","0.54 [0.37, 0.67]","0.81 [0.70, 0.92]","0.11 [-0.39, 0.46]","1.00 [1.00, 1.00]","0.77 [0.68, 0.85]"
ZE41,"0.76 [0.67, 0.83]","0.80 [0.72, 0.87]","0.74 [0.65, 0.82]","0.69 [0.56, 0.80]","0.43 [0.16, 0.65]","0.68 [0.57, 0.76]","0.61 [0.49, 0.72]","0.71 [0.61, 0.79]","0.18 [-0.20, 0.50]","0.77 [0.68, 0.84]","1.00 [1.00, 1.00]"
