alloy_a,AM50,AZ31,AZ91,CPMg220ppmFe,CPMg342ppmFe,E21,HPMg50ppmFe,HPMg51ppmFe,MgCa,WE43,ZE41
AM50,1.000,0.881,0.895,0.381,0.296,0.750,0.440,0.713,-0.231,0.696,0.712
AZ31,0.881,1.000,0.821,0.508,0.358,0.701,0.555,0.707,0.103,0.734,0.728
AZ91,0.895,0.821,1.000,0.387,0.590,0.702,0.444,0.704,-0.218,0.647,0.651
CPMg220ppmFe,0.381,0.508,0.387,1.000,0.571,0.389,0.567,0.437,-0.082,0.568,0.632
CPMg342ppmFe,0.296,0.358,0.590,0.571,1.000,0.299,0.287,0.450,0.519,0.072,0.222
E21,0.750,0.701,0.702,0.389,0.299,1.000,0.406,0.757,-0.388,0.806,0.555
HPMg50ppmFe,0.440,0.555,0.444,0.567,0.287,0.406,1.000,0.389,0.211,0.480,0.551
HPMg51ppmFe,0.713,0.707,0.704,0.437,0.450,0.757,0.389,1.000,-0.175,0.735,0.597
MgCa,-0.231,0.103,-0.218,-0.082,0.519,-0.388,0.211,-0.175,1.000,-0.210,0.102
WE43,0.696,0.734,0.647,0.568,0.072,0.806,0.480,0.735,-0.210,1.000,0.683
ZE41,0.712,0.728,0.651,0.632,0.222,0.555,0.551,0.597,0.102,0.683,1.000
