model,setting,mean,std
ChemProp,close_filt,110.24,23.722
ChemProp,close_unfilt,79.325,24.061
ChemProp,exact,127.508,37.87
ChemProp,far_filt,107.914,25.127
ChemProp,far_unfilt,81.881,25.667
GBR,close_filt,109.598,32.93
GBR,close_unfilt,55.967,19.835
GBR,exact,111.072,29.724
GBR,far_filt,108.733,34.541
GBR,far_unfilt,70.819,26.559
Gemini3.1Pro,close_filt,87.653,29.52
Gemini3.1Pro,close_unfilt,74.682,19.681
Gemini3.1Pro,exact,94.434,31.008
Gemini3.1Pro,far_filt,89.836,23.971
Gemini3.1Pro,far_unfilt,68.216,14.518
MLP,close_filt,123.707,33.388
MLP,close_unfilt,56.125,19.066
MLP,exact,124.17,32.597
MLP,far_filt,110.733,35.084
MLP,far_unfilt,57.726,19.403
RF,close_filt,106.947,35.61
RF,close_unfilt,75.072,24.868
RF,exact,107.078,35.306
RF,far_filt,106.435,36.174
RF,far_unfilt,78.186,25.221
kNN_Tan,close_filt,127.33,31.628
kNN_Tan,close_unfilt,79.019,20.052
kNN_Tan,exact,114.164,26.115
kNN_Tan,far_filt,113.635,37.488
kNN_Tan,far_unfilt,78.153,20.287
