model,setting,mean,std
ChemProp,close_filt,-0.491,1.031
ChemProp,close_unfilt,0.478,0.159
ChemProp,exact,-0.137,0.233
ChemProp,far_filt,-0.152,0.435
ChemProp,far_unfilt,0.416,0.227
GBR,close_filt,-0.159,0.431
GBR,close_unfilt,0.679,0.172
GBR,exact,-0.14,0.412
GBR,far_filt,-0.078,0.263
GBR,far_unfilt,0.583,0.161
Gemini3.1Pro,close_filt,0.107,0.828
Gemini3.1Pro,close_unfilt,0.357,0.436
Gemini3.1Pro,exact,0.039,0.758
Gemini3.1Pro,far_filt,0.19,0.448
Gemini3.1Pro,far_unfilt,0.472,0.484
MLP,close_filt,-0.111,0.24
MLP,close_unfilt,0.501,0.428
MLP,exact,-0.097,0.297
MLP,far_filt,-0.17,0.284
MLP,far_unfilt,0.536,0.39
RF,close_filt,-0.141,0.378
RF,close_unfilt,0.445,0.2
RF,exact,-0.106,0.306
RF,far_filt,-0.123,0.357
RF,far_unfilt,0.397,0.194
kNN_Tan,close_filt,-1.19,2.165
kNN_Tan,close_unfilt,-0.14,1.095
kNN_Tan,exact,-0.189,0.348
kNN_Tan,far_filt,-0.49,0.67
kNN_Tan,far_unfilt,-0.103,1.008
