Unnamed: 0,index,IUPAC,isomeric_SMILES,BaseMaterial,Alloy,Method,AggressiveComponent,Operating_Concentration_mM,IE,References,Year,Journal,canonical_SMILES,transformed_IE,transformed_smiles,transformed_alloy,transformed_base_material
0,0,"1,2-bis(dibromomethyl) benzene",BrC(Br)c1ccccc1C(Br)Br,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,47,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,BrC(Br)c1ccccc1C(Br)Br,60.753350335071055,XA{X}araaaaarA{X}X,SAMPLE_37,BASE_1
1,1,8-(4-bromobutoxy)quinoline(QN-C4Br),BrCCCCOc1cccc2cccnc12,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,97.5,Effect of hydrocarbon chain length for acid corrosion inhibition of mild steel by three 8-(n-bromo-R-alkoxy)quinoline derivatives: Experimental and theoretical investigations,2021,Journal of Molecular Structure,BrCCCCOc1cccc2cccnc12,31.1750876781472,XAAAABaraaaaeaaadare,SAMPLE_23,BASE_3
2,2,8-(3-bromopropoxy)quinoline(QN-C3Br),BrCCCOc1cccc2cccnc12,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,95.7,Effect of hydrocarbon chain length for acid corrosion inhibition of mild steel by three 8-(n-bromo-R-alkoxy)quinoline derivatives: Experimental and theoretical investigations,2021,Journal of Molecular Structure,BrCCCOc1cccc2cccnc12,36.42754482043587,XAAABaraaaaeaaadare,SAMPLE_23,BASE_3
3,3,8-(2-bromoethoxy)quinoline(QN-C2Br),BrCCOc1cccc2cccnc12,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,95.2,Effect of hydrocarbon chain length for acid corrosion inhibition of mild steel by three 8-(n-bromo-R-alkoxy)quinoline derivatives: Experimental and theoretical investigations,2021,Journal of Molecular Structure,BrCCOc1cccc2cccnc12,37.49291289909475,XAABaraaaaeaaadare,SAMPLE_23,BASE_3
4,4,"1,2,3,5,6,7-hexakis(bromomethyl)benzene",BrCc1c(Br)c(CBr)c(CBr)c(CBr)c1CBr,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,47,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,BrCc1c(Br)c(CBr)c(CBr)c(CBr)c1CBr,60.753350335071055,XAara{X}a{AX}a{AX}a{AX}arAX,SAMPLE_37,BASE_1
5,5,9-bromoanthracene,Brc1c2ccccc2cc2ccccc12,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,7,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Brc1c2ccccc2cc2ccccc12,66.19934733834768,Xaraeaaaaaeaaeaaaaare,SAMPLE_37,BASE_1
6,6,1-(4-Bromophenyl)-1H-imidazole,Brc1ccc(-n2ccnc2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,56.4,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc(-n2ccnc2)cc1,58.862484954844085,Xaraaa{Mdeaadae}aar,SAMPLE_23,BASE_3
7,6,1-(4-Bromophenyl)-1H-imidazole,Brc1ccc(-n2ccnc2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,28.1,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc(-n2ccnc2)cc1,63.70714986187598,Xaraaa{Mdeaadae}aar,SAMPLE_23,BASE_3
8,6,1-(4-Bromophenyl)-1H-imidazole,Brc1ccc(-n2ccnc2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,45.5,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc(-n2ccnc2)cc1,61.023649335056966,Xaraaa{Mdeaadae}aar,SAMPLE_23,BASE_3
9,6,1-(4-Bromophenyl)-1H-imidazole,Brc1ccc(-n2ccnc2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,80.7,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc(-n2ccnc2)cc1,50.96960460372885,Xaraaa{Mdeaadae}aar,SAMPLE_23,BASE_3
10,7,(E)-4-bromobenzaldehyde O-(((E)-4-bromobenzylidene)amino) oxime(p-BrC6H4CH=NO-N=CH-pC6H4Br),Brc1ccc(C=NON=Cc2ccc(Br)cc2)cc1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,32,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Brc1ccc(C=NON=Cc2ccc(Br)cc2)cc1,63.16702659267399,Xaraaa{A~DBD~Aaeaaa{X}aae}aar,SAMPLE_37,BASE_1
11,8,6-Bromo-1H-benzimidazole,Brc1ccc2nc[nH]c2c1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,60.7,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc2nc[nH]c2c1,57.856857038033354,Xaraaaeda<dH>aear,SAMPLE_23,BASE_3
12,8,6-Bromo-1H-benzimidazole,Brc1ccc2nc[nH]c2c1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,25.9,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc2nc[nH]c2c1,63.999051246187854,Xaraaaeda<dH>aear,SAMPLE_23,BASE_3
13,8,6-Bromo-1H-benzimidazole,Brc1ccc2nc[nH]c2c1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,49.7,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc2nc[nH]c2c1,60.24694785193175,Xaraaaeda<dH>aear,SAMPLE_23,BASE_3
14,8,6-Bromo-1H-benzimidazole,Brc1ccc2nc[nH]c2c1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,86,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,Corrosion Science,Brc1ccc2nc[nH]c2c1,47.860229527556804,Xaraaaeda<dH>aear,SAMPLE_23,BASE_3
15,9,5-bromo-3-phenyl-2;1-benzoxazole (5-bromo-3-phenylanthranil),Brc1ccc2noc(-c3ccccc3)c2c1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,25,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Brc1ccc2noc(-c3ccccc3)c2c1,64.11597522802404,Xaraaaedba{Mataaaaat}aear,SAMPLE_37,BASE_1
16,11,1-bromonaphthalene;2-methyl-1;3;5-trinitrobenzene-bromonaphthalene picrate),Brc1cccc2ccccc12.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,18,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Brc1cccc2ccccc12.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,64.98018639022474,Xaraaaaeaaaaare!B~<DT>{<BM>}araa{<DT>{~B}<BM>}a{B}a{<DT>{~B}<BM>}ar,SAMPLE_37,BASE_1
17,12,N-PropargylSaccharin(NPS),C#CCN1C(=O)c2ccccc2S1(=O)=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,92.47,"Inhibition effect of N-propargyl saccharin as corrosion inhibitor of C38 steel in 1 M HCl, experimental and theoretical study",2022,Journal of Molecular Liquids,C#CCN1C(=O)c2ccccc2S1(=O)=O,41.853904726958326,A^AADrA{~B}aeaaaaaeEr{~B}~B,SAMPLE_23,BASE_3
18,12,N-PropargylSaccharin(NPS),C#CCN1C(=O)c2ccccc2S1(=O)=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,81.14,"Inhibition effect of N-propargyl saccharin as corrosion inhibitor of C38 steel in 1 M HCl, experimental and theoretical study",2022,Journal of Molecular Liquids,C#CCN1C(=O)c2ccccc2S1(=O)=O,50.74624891706087,A^AADrA{~B}aeaaaaaeEr{~B}~B,SAMPLE_23,BASE_3
19,12,N-PropargylSaccharin(NPS),C#CCN1C(=O)c2ccccc2S1(=O)=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,83.8,"Inhibition effect of N-propargyl saccharin as corrosion inhibitor of C38 steel in 1 M HCl, experimental and theoretical study",2022,Journal of Molecular Liquids,C#CCN1C(=O)c2ccccc2S1(=O)=O,49.273805654924004,A^AADrA{~B}aeaaaaaeEr{~B}~B,SAMPLE_23,BASE_3
20,12,N-PropargylSaccharin(NPS),C#CCN1C(=O)c2ccccc2S1(=O)=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,89.77,"Inhibition effect of N-propargyl saccharin as corrosion inhibitor of C38 steel in 1 M HCl, experimental and theoretical study",2022,Journal of Molecular Liquids,C#CCN1C(=O)c2ccccc2S1(=O)=O,44.82170101324267,A^AADrA{~B}aeaaaaaeEr{~B}~B,SAMPLE_23,BASE_3
21,12,N-PropargylSaccharin(NPS),C#CCN1C(=O)c2ccccc2S1(=O)=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,92.47,"Inhibition effect of N-propargyl saccharin as corrosion inhibitor of C38 steel in 1 M HCl, experimental and theoretical study",2022,Journal of Molecular Liquids,C#CCN1C(=O)c2ccccc2S1(=O)=O,41.853904726958326,A^AADrA{~B}aeaaaaaeEr{~B}~B,SAMPLE_23,BASE_3
22,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,0.2,56.6,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,58.817955747523534,A^AAB,SAMPLE_6,BASE_1
23,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,0.4,66.4,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,56.339219128717225,A^AAB,SAMPLE_6,BASE_1
24,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,0.6,72.2,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,54.50399182325718,A^AAB,SAMPLE_6,BASE_1
25,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,0.8,79.9,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,51.36296163256267,A^AAB,SAMPLE_6,BASE_1
26,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,1.0,82.9,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,49.79745131736071,A^AAB,SAMPLE_6,BASE_1
27,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,1.5,85.9,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,47.92916281166379,A^AAB,SAMPLE_6,BASE_1
28,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,impedance,0.5% NaCl,2.0,86.1,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,47.790802093826976,A^AAB,SAMPLE_6,BASE_1
29,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,0.2,68,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,55.8666822156552,A^AAB,SAMPLE_6,BASE_1
30,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,0.4,76.4,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,52.91767835974099,A^AAB,SAMPLE_6,BASE_1
31,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,0.6,80.2,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,51.21731850407946,A^AAB,SAMPLE_6,BASE_1
32,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,0.8,84.8,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,48.656712542904756,A^AAB,SAMPLE_6,BASE_1
33,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,1.0,89.9,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,44.697836942384264,A^AAB,SAMPLE_6,BASE_1
34,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,1.5,90.1,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,44.504128774649246,A^AAB,SAMPLE_6,BASE_1
35,13,prop-2-yn-1-ol (Propargyl alcohol; 2-propyn-1-ol),C#CCO,Al,AA3003,potentiodynamic polarization,0.5% NaCl,2.0,90.1,"YAZDZAD, A. R., SHAHRABI, T. & HOSSEINI, M. G.",2008,Materials Chemistry and Physics,C#CCO,44.504128774649246,A^AAB,SAMPLE_6,BASE_1
36,14,"(E,E)-N,N’-biphenyl-4–4diylbis[1-(thiophen-3-yl)methanimine] (BT)",C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,62.64,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,57.366560183201535,A{~DLaraaa{Maeaaa{LD~ALataaeat}aae}aar}Raraaear,SAMPLE_23,BASE_3
37,14,"(E,E)-N,N’-biphenyl-4–4diylbis[1-(thiophen-3-yl)methanimine] (BT)",C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,72.59,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,54.367159865814344,A{~DLaraaa{Maeaaa{LD~ALataaeat}aae}aar}Raraaear,SAMPLE_23,BASE_3
38,14,"(E,E)-N,N’-biphenyl-4–4diylbis[1-(thiophen-3-yl)methanimine] (BT)",C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.25,80.41,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C(=N/c1ccc(-c2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,51.114049286954454,A{~DLaraaa{Maeaaa{LD~ALataaeat}aae}aar}Raraaear,SAMPLE_23,BASE_3
